sweep_type,topology,nodes,traffic,injection_rate,router_latency,vcs_per_vnet,avg_packet_latency,avg_flit_latency,avg_hops,packets_injected,packets_received,flits_injected,flits_received,avg_flit_network_latency,avg_flit_queueing_latency,int_link_util,ext_in_link_util,ext_out_link_util,throughput,accepted_traffic,flit_net_lat_v0,flit_net_lat_v1,flit_net_lat_v2,flit_net_lat_v3,flit_net_lat_v4,flit_queue_lat_v0,flit_queue_lat_v1,flit_queue_lat_v2,flit_queue_lat_v3,flit_queue_lat_v4
core,CrossbarGarnet,8,uniform_random,0.3,1,4,5625.899281,6046.296296,0.0,142.0,139.0,222.0,216.0,2442.12963,3604.166667,0.0,221.0,217.0,0.00139,0.00027,0.0,0.0,100500.0,101500.0,325500.0,0.0,0.0,65000.0,361000.0,352500.0
core,CrossbarGarnet,8,uniform_random,0.35,1,4,5489.285714,5926.666667,0.0,145.0,140.0,237.0,225.0,2304.444444,3622.222222,0.0,231.0,226.0,0.0014,0.00028125,0.0,0.0,103500.0,95000.0,320000.0,0.0,0.0,66500.0,344000.0,404500.0
core,CrossbarGarnet,8,uniform_random,0.4,1,4,5493.006993,5975.555556,0.0,149.0,143.0,245.0,225.0,2395.555556,3580.0,0.0,233.0,228.0,0.00143,0.00028125,0.0,0.0,105500.0,91500.0,342000.0,0.0,0.0,68000.0,351500.0,386000.0
core,CrossbarGarnet,8,uniform_random,0.5,1,4,5401.459854,5700.483092,0.0,143.0,137.0,223.0,207.0,2275.362319,3425.120773,0.0,211.0,209.0,0.00137,0.00025875,0.0,0.0,103000.0,94000.0,274000.0,0.0,0.0,65000.0,341000.0,303000.0
core,CrossbarGarnet,16,neighbor,0.02,1,4,3250.0,2937.5,0.0,26.0,24.0,70.0,64.0,2320.3125,617.1875,0.0,65.0,65.0,0.00024,4e-05,0.0,0.0,22500.0,0.0,126000.0,0.0,0.0,15000.0,0.0,24500.0
core,CrossbarGarnet,16,neighbor,0.04,1,4,3357.142857,2973.684211,0.0,29.0,28.0,81.0,76.0,2368.421053,605.263158,0.0,76.0,76.0,0.00028,4.75e-05,0.0,0.0,24000.0,0.0,156000.0,0.0,0.0,16000.0,0.0,30000.0
core,CrossbarGarnet,16,neighbor,0.06,1,4,3500.0,3000.0,0.0,32.0,32.0,96.0,96.0,2416.666667,583.333333,0.0,96.0,96.0,0.00032,6e-05,0.0,0.0,24000.0,0.0,208000.0,0.0,0.0,16000.0,0.0,40000.0
core,CrossbarGarnet,16,neighbor,0.08,1,4,3500.0,3000.0,0.0,32.0,32.0,96.0,96.0,2416.666667,583.333333,0.0,96.0,96.0,0.00032,6e-05,0.0,0.0,24000.0,0.0,208000.0,0.0,0.0,16000.0,0.0,40000.0
core,CrossbarGarnet,16,neighbor,0.1,1,4,3500.0,3000.0,0.0,32.0,32.0,96.0,96.0,2416.666667,583.333333,0.0,96.0,96.0,0.00032,6e-05,0.0,0.0,24000.0,0.0,208000.0,0.0,0.0,16000.0,0.0,40000.0
core,CrossbarGarnet,16,neighbor,0.12,1,4,3500.0,3000.0,0.0,32.0,32.0,96.0,96.0,2416.666667,583.333333,0.0,96.0,96.0,0.00032,6e-05,0.0,0.0,24000.0,0.0,208000.0,0.0,0.0,16000.0,0.0,40000.0
